date,forecast_complaints,lower_68,upper_68,lower_95,upper_95
2026-01-01,103.3,69.9,136.7,36.6,170.1
2026-01-02,84.7,51.3,118.1,17.9,151.4
2026-01-03,99.4,66.0,132.8,32.7,166.2
2026-01-04,116.1,82.7,149.4,49.3,182.8
2026-01-05,120.0,86.6,153.4,53.2,186.7
2026-01-06,118.1,84.7,151.4,51.3,184.8
2026-01-07,120.4,87.0,153.7,53.6,187.1
2026-01-08,109.8,76.4,143.1,43.0,176.5
2026-01-09,84.8,51.4,118.2,18.0,151.5
2026-01-10,98.1,64.8,131.5,31.4,164.9
2026-01-11,95.2,61.8,128.5,28.4,161.9
2026-01-12,127.8,94.4,161.1,61.0,194.5
2026-01-13,121.7,88.4,155.1,55.0,188.5
2026-01-14,117.3,83.9,150.6,50.5,184.0
2026-01-15,87.8,54.4,121.2,21.1,154.6
2026-01-16,87.0,53.6,120.3,20.2,153.7
2026-01-17,88.5,55.1,121.8,21.7,155.2
2026-01-18,82.3,48.9,115.7,15.5,149.0
2026-01-19,110.2,76.9,143.6,43.5,177.0
2026-01-20,107.4,74.1,140.8,40.7,174.2
2026-01-21,112.9,79.5,146.3,46.2,179.7
2026-01-22,87.1,53.7,120.4,20.3,153.8
2026-01-23,99.4,66.0,132.8,32.7,166.2
2026-01-24,114.9,81.5,148.2,48.1,181.6
2026-01-25,105.4,72.0,138.8,38.6,172.1
2026-01-26,135.5,102.2,168.9,68.8,202.3
2026-01-27,139.1,105.8,172.5,72.4,205.9
2026-01-28,130.9,97.5,164.3,64.1,197.6
2026-01-29,69.1,35.7,102.4,2.3,135.8
2026-01-30,89.3,56.0,122.7,22.6,156.1
2026-01-31,122.5,89.1,155.9,55.7,189.2
2026-02-01,128.5,95.1,161.8,61.7,195.2
2026-02-02,108.2,74.8,141.6,41.5,175.0
2026-02-03,126.1,92.8,159.5,59.4,192.9
2026-02-04,109.6,76.3,143.0,42.9,176.4
2026-02-05,94.4,61.0,127.7,27.6,161.1
2026-02-06,102.3,68.9,135.7,35.6,169.1
2026-02-07,113.2,79.8,146.6,46.5,180.0
2026-02-08,93.2,59.8,126.5,26.4,159.9
2026-02-09,111.1,77.7,144.4,44.3,177.8
2026-02-10,127.1,93.7,160.4,60.3,193.8
2026-02-11,145.7,112.4,179.1,79.0,212.5
2026-02-12,74.6,41.2,108.0,7.9,141.4
2026-02-13,95.2,61.9,128.6,28.5,162.0
2026-02-14,98.3,65.0,131.7,31.6,165.1
2026-02-15,88.2,54.8,121.6,21.5,155.0
2026-02-16,104.0,70.6,137.4,37.3,170.8
2026-02-17,105.4,72.0,138.8,38.6,172.1
2026-02-18,111.0,77.6,144.3,44.2,177.7
2026-02-19,86.7,53.3,120.0,19.9,153.4
2026-02-20,85.0,51.7,118.4,18.3,151.8
2026-02-21,95.8,62.4,129.2,29.1,162.6
2026-02-22,105.0,71.6,138.4,38.3,171.8
2026-02-23,131.7,98.3,165.0,64.9,198.4
2026-02-24,125.6,92.2,158.9,58.8,192.3
2026-02-25,129.4,96.0,162.7,62.6,196.1
2026-02-26,99.9,66.5,133.2,33.1,166.6
2026-02-27,79.5,46.1,112.9,12.7,146.2
2026-02-28,112.8,79.4,146.1,46.0,179.5
2026-03-01,124.0,90.7,157.4,57.3,190.8
2026-03-02,114.5,81.1,147.9,47.8,181.3
2026-03-03,124.9,91.6,158.3,58.2,191.7
2026-03-04,122.7,89.3,156.0,55.9,189.4
2026-03-05,101.4,68.0,134.8,34.6,168.1
2026-03-06,76.9,43.6,110.3,10.2,143.7
2026-03-07,110.3,76.9,143.6,43.5,177.0
2026-03-08,120.3,86.9,153.6,53.5,187.0
2026-03-09,108.5,75.1,141.9,41.8,175.3
2026-03-10,104.6,71.2,138.0,37.8,171.3
2026-03-11,132.7,99.3,166.0,65.9,199.4
2026-03-12,94.4,61.0,127.8,27.7,161.2
2026-03-13,102.3,68.9,135.7,35.5,169.0
2026-03-14,110.6,77.2,144.0,43.8,177.3
2026-03-15,106.6,73.2,140.0,39.8,173.3
2026-03-16,112.2,78.8,145.6,45.5,179.0
2026-03-17,123.4,90.1,156.8,56.7,190.2
2026-03-18,104.0,70.6,137.3,37.2,170.7
2026-03-19,78.7,45.3,112.0,11.9,145.4
2026-03-20,87.1,53.7,120.5,20.3,153.8
2026-03-21,87.2,53.8,120.6,20.4,153.9
2026-03-22,111.2,77.9,144.6,44.5,178.0
2026-03-23,105.4,72.0,138.8,38.7,172.2
2026-03-24,109.5,76.1,142.8,42.7,176.2
2026-03-25,135.8,102.4,169.2,69.1,202.6
2026-03-26,99.5,66.2,132.9,32.8,166.3
2026-03-27,97.9,64.6,131.3,31.2,164.7
2026-03-28,94.1,60.7,127.5,27.4,160.9
2026-03-29,133.3,99.9,166.7,66.5,200.0
2026-03-30,109.4,76.0,142.8,42.7,176.2
2026-03-31,121.5,88.1,154.9,54.8,188.3
